"id","ways_index"
26152119,"[26152131L, 26239695L, 26569009L, 26152115L, 26152120L, 26152121L]"
26152120,"[26152121L, 26152131L, 26152119L]"
26152121,"[26152120L, 26152131L, 26152119L]"
26152124,"[26152131L, 26328082L, 26141460L, 26152118L, 139502711L, 47795486L, 47795487L]"
26152126,"[26152112L, 26152127L]"
26152127,"[26152115L, 26152126L]"
26152129,"[26328078L, 26328080L, 26328082L, 25659834L, 22800031L]"
26152131,"[26152118L, 26152119L, 26152120L, 26152121L, 26152124L]"
26152132,"[25895792L, 26152137L, 40745171L, 26328084L]"
26152135,"[22800007L, 26152137L, 26328075L, 26328078L, 26328084L, 26152118L]"
26152137,"[26152132L, 26152135L, 26328078L, 25895792L, 40745171L, 26152118L]"
26152139,"[26240639L, 25873850L, 25659834L, 139542967L]"
26152141,"[128620729L, 128686401L]"
26152147,"[138693089L, 138693091L, 138693092L, 127635192L, 138693083L, 40724028L]"
26152148,"[138694656L, 114108304L, 42454101L, 121778743L, 122100440L, 34319868L]"
26173750,"[33682386L, 31099133L, 30834135L]"
26173793,"[53791192L, 26173794L, 33428589L, 111821073L]"
26173794,"[26173793L, 121484363L, 53791192L, 69201276L, 118793567L]"
26210484,"[127701972L, 84345262L, 24798447L]"
26210501,"[122924850L]"
26239248,"[106996953L, 106996962L, 139831158L]"
26239442,"[104246065L, 104246082L, 42415453L, 104246079L]"
26239531,"[25659832L, 26568991L]"
26239551,"[26141460L, 26545784L, 26545785L, 26141468L, 47795486L]"
26239695,"[26330059L, 26152119L, 26328114L, 26152115L, 26388405L, 27083831L, 26330044L, 26240703L]"
26239727,"[27083835L, 27083828L, 26152118L]"
26239772,"[26328090L, 27083835L, 26328093L]"
26239781,"[27083835L, 26152115L]"
26239788,"[26239792L, 26152115L]"
26239792,"[26152115L, 26239788L]"
26239979,"[26240760L, 26545785L]"
26240639,"[26328072L, 25873850L, 26152139L]"
26240703,"[27083833L, 26239695L, 27083831L]"
26240718,"[27083835L, 26152118L]"
26240760,"[26239979L, 26328082L, 26152118L, 25659833L, 26240826L, 26568991L]"
26240826,"[26240760L, 26545785L]"
26262600,"[39977497L, 26262604L, 37436672L, 86207190L]"
26262604,"[48134880L, 48134944L, 37599682L, 26262600L, 48134942L, 26320432L, 48135048L, 48134610L, 42667603L, 48134878L, 39977497L, 39977498L, 42670686L, 37436670L]"
